model,accuracy,precision,recall,f1,roc_auc,n_neighbors,weights,metric
Baseline,0.4996130030959752,0.0,0.0,0.0,0.5,,,
KNN,0.6126160990712074,0.6145996860282574,0.605568445475638,0.6100506427736657,0.6444104374205861,3.0,uniform,euclidean
KNN,0.6118421052631579,0.6184640522875817,0.5854601701469451,0.6015097338100914,0.6423256850478325,3.0,uniform,manhattan
KNN,0.6126160990712074,0.6145996860282574,0.605568445475638,0.6100506427736657,0.6452832777099834,3.0,distance,euclidean
KNN,0.6118421052631579,0.6184640522875817,0.5854601701469451,0.6015097338100914,0.6452371495684023,3.0,distance,manhattan
KNN,0.6180340557275542,0.6218152866242038,0.6040216550657386,0.6127893291486858,0.6582150326221812,5.0,uniform,euclidean
KNN,0.6323529411764706,0.6364359586316627,0.6187161639597835,0.6274509803921569,0.6684602725873634,5.0,uniform,manhattan
KNN,0.6176470588235294,0.6213206046141607,0.6040216550657386,0.6125490196078431,0.6633017085983455,5.0,distance,euclidean
KNN,0.631578947368421,0.6356404136833731,0.6179427687548337,0.6266666666666667,0.67042820693923,5.0,distance,manhattan
KNN,0.6257739938080495,0.6564299424184261,0.5290023201856149,0.5858672376873661,0.6843741818994371,10.0,uniform,euclidean
KNN,0.6226780185758514,0.6528846153846154,0.5251353441608662,0.5820831547363909,0.683797580129674,10.0,uniform,manhattan
KNN,0.6238390092879257,0.629749393694422,0.6024748646558391,0.6158102766798419,0.6867072474499225,10.0,distance,euclidean
KNN,0.6377708978328174,0.6429143314651722,0.6210363495746326,0.6317859952793077,0.6871134147225451,10.0,distance,manhattan
KNN,0.6458978328173375,0.6485849056603774,0.6380510440835266,0.6432748538011696,0.6984228968113473,15.0,uniform,euclidean
KNN,0.6377708978328174,0.6426858513189448,0.6218097447795824,0.6320754716981132,0.7023392958449328,15.0,uniform,manhattan
KNN,0.6420278637770898,0.6444270015698587,0.6349574632637278,0.6396571873782626,0.6998345976637594,15.0,distance,euclidean
KNN,0.6381578947368421,0.6429712460063898,0.6225831399845321,0.6326129666011788,0.7032834250804098,15.0,distance,manhattan
KNN,0.6431888544891641,0.6625766871165644,0.5846867749419954,0.6211996713229252,0.7024983480733712,20.0,uniform,euclidean
KNN,0.6377708978328174,0.6578249336870027,0.5754060324825986,0.6138613861386139,0.7053310353131892,20.0,uniform,manhattan
KNN,0.6505417956656346,0.6565008025682183,0.6326372776488786,0.6443481685703033,0.7036566436804745,20.0,distance,euclidean
KNN,0.6455108359133127,0.6499602227525855,0.6318638824439289,0.6407843137254902,0.7067532198341424,20.0,distance,manhattan
KNN,0.6540247678018576,0.6709511568123393,0.605568445475638,0.6365853658536585,0.7138488662361773,30.0,uniform,euclidean
KNN,0.6482198142414861,0.6684210526315789,0.5893271461716937,0.6263871763255241,0.7169936672651344,30.0,uniform,manhattan
KNN,0.6513157894736842,0.6578099838969405,0.6318638824439289,0.6445759368836292,0.7144578176117244,30.0,distance,euclidean
KNN,0.6536377708978328,0.6612641815235009,0.6310904872389791,0.6458250890383854,0.7177592746020249,30.0,distance,manhattan
KNN,0.6489938080495357,0.6536624203821656,0.6349574632637278,0.6441741859552765,0.7149676234362109,35.0,uniform,euclidean
KNN,0.6586687306501547,0.6672091131000814,0.634184068058778,0.6502775574940524,0.7198134745693159,35.0,uniform,manhattan
KNN,0.6551857585139319,0.6595238095238095,0.642691415313225,0.6509988249118684,0.7161993047231023,35.0,distance,euclidean
KNN,0.6555727554179567,0.6634225466342255,0.6326372776488786,0.6476642913697546,0.7204125413430957,35.0,distance,manhattan
KNN,0.646671826625387,0.6610169491525424,0.6032482598607889,0.6308127780024262,0.7150646722535634,40.0,uniform,euclidean
KNN,0.6536377708978328,0.673951048951049,0.5962877030162413,0.6327451784981535,0.7182049802817171,40.0,uniform,manhattan
KNN,0.6470588235294118,0.6522781774580336,0.6310904872389791,0.6415094339622641,0.7162454328646835,40.0,distance,euclidean
KNN,0.6513157894736842,0.6609195402298851,0.6225831399845321,0.641178813221824,0.7190754243040193,40.0,distance,manhattan
KNN,0.6443498452012384,0.6496,0.6279969064191802,0.6386158081006685,0.7153663023741615,45.0,uniform,euclidean
KNN,0.6505417956656346,0.6606260296540363,0.6202629543696829,0.639808536098923,0.7187585179806897,45.0,uniform,manhattan
KNN,0.6474458204334366,0.6530448717948718,0.6303170920340294,0.6414797323888233,0.7167756069594785,45.0,distance,euclidean
KNN,0.651702786377709,0.6601466992665037,0.6264501160092807,0.6428571428571429,0.7198230596376963,45.0,distance,manhattan
KNN,0.6424148606811145,0.6578272027373824,0.5947409126063419,0.6246953696181966,0.7158659240634939,50.0,uniform,euclidean
KNN,0.6578947368421053,0.6773633998265395,0.6040216550657386,0.6385936222403925,0.7210466535231418,50.0,uniform,manhattan
KNN,0.6462848297213623,0.6529459241323649,0.625676720804331,0.6390205371248026,0.7171338488901989,50.0,distance,euclidean
KNN,0.6559597523219814,0.6650326797385621,0.6295436968290796,0.6468017481128328,0.7220114505623141,50.0,distance,manhattan
