model,rank,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,cv_roc_auc,std_roc_auc
Random Forest,1,500,5,8,0.3,15,0.7588602368224191,0.012302477979430711
Random Forest,2,500,10,2,log2,,0.7581059738748979,0.008999262241324631
Random Forest,3,500,10,2,0.3,20,0.7580207223002604,0.009895087729044077
Random Forest,4,300,5,8,log2,15,0.7579999855589878,0.011292404068367127
Random Forest,5,500,10,2,0.3,15,0.757580839496061,0.011070400219277195
Random Forest,6,300,5,8,log2,,0.7575491689072449,0.011400773638723253
Random Forest,6,300,10,8,log2,,0.7575491689072449,0.011400773638723253
Random Forest,8,500,5,4,0.5,15,0.7571221285969022,0.010650634575471718
Random Forest,9,100,15,8,sqrt,15,0.7569083015486571,0.010658887016891412
Random Forest,10,500,15,2,0.3,15,0.756882189541769,0.010937094808259228
Random Forest,11,200,15,8,0.5,,0.7566217824655108,0.010491851867710648
Random Forest,12,300,15,1,sqrt,15,0.756384747140768,0.011035867004734927
Random Forest,13,200,15,4,log2,10,0.7563091919207315,0.013733915921413892
Random Forest,14,500,5,4,0.3,10,0.7561140010244837,0.013150888283209467
Random Forest,15,300,2,1,sqrt,,0.7560730639039026,0.009526384444261746
Random Forest,16,500,5,1,0.3,,0.7558902209788,0.008673276719226249
Random Forest,17,300,10,8,0.3,10,0.7558422361008342,0.013012200803204732
Random Forest,18,300,10,2,log2,10,0.7555964304923679,0.013246066459333938
Random Forest,19,500,2,1,0.3,20,0.7551258128752113,0.007716340132559404
Random Forest,20,200,10,4,sqrt,10,0.7551175660134766,0.014176109206593023
Random Forest,21,300,10,1,log2,,0.7550393184159748,0.01128803137045989
Random Forest,22,200,5,2,sqrt,,0.7550034865468644,0.009240109095234693
Random Forest,23,300,2,1,sqrt,20,0.7549193937469882,0.008597569038793183
Random Forest,24,300,10,2,0.5,20,0.7548657558252769,0.00971518758225396
Random Forest,25,300,10,1,0.3,10,0.7547251414302605,0.01306715812229908
Random Forest,26,200,15,2,0.5,10,0.7546993882920124,0.014323655852246727
Random Forest,27,300,5,2,log2,10,0.7545196067493286,0.013140132119328268
Random Forest,28,200,5,2,0.3,10,0.7542937813249297,0.0131586703508641
Random Forest,29,200,15,1,log2,10,0.7540270233089409,0.014077772692913994
Random Forest,30,100,15,4,sqrt,,0.7539062665995616,0.010798853352515342
Random Forest,31,300,2,1,0.5,15,0.7535150342193757,0.009111093594635083
Random Forest,32,100,10,2,0.3,,0.7533121927785744,0.008022195959127208
Random Forest,33,100,10,1,0.5,15,0.7530174386953372,0.011547242001583337
Random Forest,34,100,2,2,0.5,10,0.7530020435757454,0.012053141260038813
Random Forest,35,100,10,2,0.5,,0.7525285491864796,0.00948365186495073
Random Forest,36,100,2,2,sqrt,,0.7523935313306513,0.011530402906122027
Random Forest,37,100,2,1,log2,20,0.7510126949522615,0.008544340740407748
Random Forest,38,500,5,2,sqrt,5,0.7424750724105904,0.017323416252093573
Random Forest,39,500,2,8,sqrt,5,0.7419175846435899,0.017663843024031893
Random Forest,40,500,10,4,sqrt,5,0.7419073206554186,0.017435946093396517
Random Forest,41,200,2,1,log2,5,0.7418282078049219,0.018650072392213626
Random Forest,42,100,2,1,0.3,5,0.7414778834303732,0.017968414662911745
Random Forest,43,100,15,4,sqrt,5,0.7410803372050514,0.01856183527435219
Random Forest,44,100,10,8,0.3,5,0.7407593619878037,0.017910317061888257
Random Forest,45,500,5,4,0.5,5,0.7397277401654401,0.019310242355070433
Random Forest,46,300,5,1,0.5,5,0.7395433079957409,0.019529699451398527
Random Forest,47,500,15,4,0.5,5,0.7392326675051943,0.019416237050222395
Random Forest,48,100,5,1,0.5,5,0.738994351769925,0.01957398787182964
Random Forest,49,200,15,2,0.5,5,0.7387117321482456,0.019269521999058424
Random Forest,50,100,2,8,0.5,5,0.7383575186642102,0.018867768679785225
