feature,coefficient,abs_coefficient
ST_segment_std,0.39934057,0.39934057
ST_segment_mean,0.39347374,0.39347374
QT_interval_mean,-0.3386844,0.3386844
PR_segment_mean,0.3266625,0.3266625
age,0.31692326,0.31692326
QRS_duration_mean,0.30643103,0.30643103
HRV_RMSSD,0.2439098,0.2439098
HRV_pNN50,-0.18646666,0.18646666
QT_interval_std,-0.14026155,0.14026155
HRV_MeanNN,0.13814163,0.13814163
is_male,-0.076083004,0.076083004
PR_segment_std,0.063103534,0.063103534
P_wave_duration_mean,-0.057114333,0.057114333
PR_interval_mean,-0.052215867,0.052215867
QRS_duration_std,0.04175965,0.04175965
HRV_SDNN,-0.02468437,0.02468437
PR_interval_std,0.017061617,0.017061617
P_wave_duration_std,-0.0105256885,0.0105256885
